,PPV,TPR,F1,INF
7JQL_2x,0.524,0.5,0.512,0.512
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.6,0.778,0.677,0.683
7JQM_2x,0.55,0.5,0.524,0.524
7JQQ_K,1.0,1.0,1.0,1.0
7JQQ_L,0.931,0.9,0.915,0.915
7JQQ_M,0.97,0.97,0.97,0.97
7JQQ_N,0.971,0.971,0.971,0.971
7JQQ_O,0.968,0.968,0.968,0.968
7JSS_2,0.286,0.278,0.282,0.282
7JSS_5,0.55,0.5,0.524,0.524
7JSW_2,0.257,0.243,0.25,0.25
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Y,,,,
7K00_Z,,,,
7K50_2,,,,
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_C,0.955,1.0,0.977,0.977
7K98_F,0.955,1.0,0.977,0.977
7KD1_A,,,,
7KGA_A,0.75,1.0,0.857,0.866
7KGA_B,0.724,1.0,0.84,0.851
7KGB_B,,,,
7KGB_y,,,,
7LH5_AW,1.0,1.0,1.0,1.0
7LH5_BB,,,,
7LH5_CW,1.0,1.0,1.0,1.0
7LH5_DB,,,,
7LJ3_A,,,,
7LJ3_B,,,,
7LJ3_C,,,,
7LMB_B,,,,
7LS1_B2,,,,
7LS2_B2,,,,
7LV0_2,,,,
7LV0_5,,,,
7LV0_6,,,,
7LVA_A,,,,
7LVK_J,,,,
7LYF_A,0.932,0.953,0.943,0.943
7M4V_B,,,,
7M4W_B,,,,
7M4X_B,,,,
7M4X_v,,,,
7M4Y_B,,,,
7M4Y_v,,,,
7M4Z_B,,,,
7MD7_1B,,,,
7MD7_2B,,,,
7MDZ_2,1.0,1.0,1.0,1.0
7MDZ_7,,,,
7MQ8_L0,0.379,0.386,0.383,0.383
7MQ8_L2,,,,
7MQ9_L0,0.379,0.386,0.383,0.383
7MQ9_L2,,,,
7MQA_L2,,,,
7MRL_A,,,,
7MSC_B,,,,
7MSC_y,,,,
7MSH_B,,,,
7MSH_y,,,,
7MSM_B,,,,
7MSM_y,,,,
7MSZ_B,,,,
7MSZ_y,,,,
7MT2_B,,,,
7MT2_y,,,,
7MT3_B,,,,
7MT3_y,,,,
7MT7_B,,,,
7MT7_x,,,,
7MT7_y,,,,
