,PPV,TPR,F1,INF
6WD6_6,,,,
6WD6_7,0.833,0.652,0.732,0.737
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.85,0.739,0.791,0.793
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.737,0.609,0.667,0.67
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.85,0.68,0.756,0.76
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.85,0.68,0.756,0.76
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.857,0.72,0.783,0.786
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.857,0.72,0.783,0.786
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.833,0.652,0.732,0.737
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.85,0.739,0.791,0.793
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.909,0.833,0.87,0.87
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,1.0,0.84,0.913,0.917
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.857,0.72,0.783,0.786
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.857,0.75,0.8,0.802
6WJR_X,,,,
6WJS_X,,,,
6WNW_5,,,,
6WNW_7,0.833,0.769,0.8,0.801
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WU9_B,,,,
6WYV_J,,,,
6WZR_A,0.947,0.783,0.857,0.861
6WZR_B,0.882,0.789,0.833,0.835
6WZS_B,0.833,0.714,0.769,0.772
6X6T_B,,,,
6X6T_d,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.778,1.0,0.875,0.882
6XHV_1x,,,,
6XHV_2B,,,,
6XHV_2w,0.536,0.833,0.652,0.668
6XHV_2x,,,,
6XHV_2y,0.485,0.941,0.64,0.676
6XHW_1B,,,,
6XHW_1w,0.75,0.955,0.84,0.846
6XHW_1x,,,,
6XHW_2B,,,,
6XHW_2w,0.577,0.789,0.667,0.675
6XHW_2x,,,,
6XHW_2y,0.485,0.941,0.64,0.676
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.724,0.955,0.824,0.831
6XHY_1x,,,,
6XHY_2B,,,,
6XHY_2w,0.536,0.833,0.652,0.668
6XHY_2x,,,,
6XHY_2y,0.471,0.941,0.627,0.666
6XII_B,,,,
6XII_d,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_3,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_3,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZ7_g,0.636,0.538,0.583,0.585
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6XZB_g2,0.542,0.813,0.65,0.663
6Y3G_F,0.714,0.625,0.667,0.668
6Y4B_F,0.714,0.625,0.667,0.668
6Y50_2,0.273,0.75,0.4,0.452
6Y53_2,0.65,0.619,0.634,0.634
6Y5Q_2,0.548,0.708,0.618,0.623
6Y69_B,,,,
6Y69_w,,,,
6Y6X_L7,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.195,0.32,0.242,0.25
6YS3_v,,,,
6YS5_3,0.206,0.394,0.271,0.285
6YS5_7,0.833,0.833,0.833,0.833
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,1.0,0.571,0.727,0.756
6YSS_B,,,,
6YSS_w,0.933,0.667,0.778,0.789
6YST_B,,,,
6YST_w,0.789,0.714,0.75,0.751
6YSU_B,,,,
6YSU_w,0.667,0.556,0.606,0.609
6YT9_4,0.171,0.28,0.212,0.219
6YTF_3,0.193,0.391,0.258,0.275
6YTF_7,1.0,0.667,0.8,0.816
6YWE_bb,0.735,1.0,0.847,0.857
6YWX_bb,0.486,0.944,0.642,0.677
6YWY_bb,0.622,0.958,0.754,0.772
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_L7,,,,
6Z6M_L7,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.0,0.0,0.0,0.0
6ZJ3_LO,,,,
6ZJ3_S2,0.618,0.84,0.712,0.72
6ZJ3_S3,0.676,0.852,0.754,0.759
6ZJ3_S4,0.657,0.885,0.754,0.762
6ZM5_w,,,,
6ZM5_x,0.84,0.875,0.857,0.857
6ZM6_w,,,,
6ZM6_x,0.875,0.875,0.875,0.875
6ZM7_L7,,,,
6ZME_L7,,,,
6ZMI_L7,,,,
6ZMO_CB,,,,
6ZMO_L7,,,,
6ZOL_2,0.083,0.208,0.118,0.131
6ZP4_1,,,,
6ZTJ_AW,,,,
6ZTJ_AX,0.84,1.0,0.913,0.917
6ZTJ_BB,,,,
6ZTL_AW,,,,
6ZTL_AX,0.84,1.0,0.913,0.917
6ZTL_BB,,,,
6ZTM_AW,,,,
6ZTM_AX,0.808,1.0,0.894,0.899
6ZTM_BB,,,,
6ZTN_AW,,,,
6ZTN_AX,0.808,1.0,0.894,0.899
6ZTN_AZ,0.636,1.0,0.778,0.798
6ZTN_BB,,,,
6ZTO_AW,,,,
6ZTO_AX,0.778,1.0,0.875,0.882
6ZTO_BB,,,,
6ZTP_AW,,,,
6ZTP_AX,0.778,1.0,0.875,0.882
6ZTP_BB,,,,
6ZU1_AW,,,,
6ZU1_AX,0.778,1.0,0.875,0.882
6ZU1_BB,,,,
6ZU5_L70,,,,
6ZU9_1,,,,
6ZVH_x,,,,
6ZVI_d,0.824,0.737,0.778,0.779
6ZVI_e,,,,
6ZVK_d2,,,,
6ZYM_5,0.789,0.714,0.75,0.751
6ZYM_6,0.25,0.429,0.316,0.327
7A01_d2,,,,
7A09_f,,,,
7A5F_24,0.195,0.348,0.25,0.261
7A5G_24,0.175,0.318,0.226,0.236
7A5H_24,0.219,0.318,0.259,0.264
7A5I_94,0.194,0.318,0.241,0.249
7A5I_99,,,,
7A5I_X,,,,
7A5J_x,0.273,0.286,0.279,0.279
7A5K_24,,,,
7A5K_FE,,,,
7A5P_5,1.0,0.375,0.545,0.612
7AAV_5,0.667,0.625,0.645,0.645
7AAV_6,0.571,0.5,0.533,0.535
7ABF_5,0.667,0.308,0.421,0.453
7ABF_6,0.667,0.571,0.615,0.617
7ABG_5,,,,
7ABH_2,0.8,0.8,0.8,0.8
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,0.765,0.765,0.765,0.765
7AC7_3,,,,
7AC7_7,0.923,0.6,0.727,0.744
7ACJ_3,0.781,0.61,0.685,0.69
7ACR_3,0.882,0.714,0.789,0.794
7AQC_B,0.667,0.65,0.658,0.658
7AQC_P,,,,
7AQD_B,,,,
7AS8_2,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_2,0.8,0.8,0.8,0.8
7ASE_1,,,,
7ASM_B,0.765,0.65,0.703,0.705
7ASN_B,0.6,0.625,0.612,0.612
7ASP_3,,,,
7AZY_F,0.71,0.55,0.62,0.625
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,0.864,0.792,0.826,0.827
7B7D_LB,,,,
7B7D_Sm,0.765,1.0,0.867,0.874
7B9V_5,0.326,0.5,0.395,0.404
7BG9_B,0.12,0.278,0.168,0.183
7BGB_B,0.76,0.731,0.745,0.745
7BHP_L7,0.646,0.894,0.75,0.76
7BL2_B,0.848,0.683,0.757,0.761
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,0.714,0.5,0.588,0.598
7BV8_B,0.778,0.622,0.691,0.696
7CHD_I,0.875,0.824,0.848,0.849
7CHD_J,0.875,0.824,0.848,0.849
7CPJ_9,0.85,0.68,0.756,0.76
7CPJ_B,,,,
7CPU_L7,,,,
7CPU_S6,,,,
7CPV_L7,,,,
7CPV_S6,,,,
7D6Z_2,,,,
7D6Z_3,0.76,0.864,0.809,0.81
7D6Z_4,0.8,0.889,0.842,0.843
7D6Z_B,0.821,0.727,0.771,0.772
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7D80_X,,,,
7D80_Z,0.6,0.5,0.545,0.548
7D81_A,,,,
7D82_A,,,,
7DA7_C,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
7DCO_B,0.364,0.615,0.457,0.473
7DVQ_B,0.833,0.625,0.714,0.722
7E8O_X,0.842,0.696,0.762,0.765
7ELP_B,0.526,1.0,0.69,0.725
7ELQ_B,0.529,0.818,0.643,0.658
7ELR_B,0.471,0.727,0.571,0.585
7ELS_B,0.529,0.818,0.643,0.658
7EQJ_B,,,,
7F36_E,0.842,0.64,0.727,0.734
7F36_F,,,,
7F36_H,,,,
7JIL_3,0.692,0.711,0.701,0.701
7JQC_i,0.25,0.3,0.273,0.274
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,0.646,0.894,0.75,0.76
7JQL_2x,0.786,0.957,0.863,0.867
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.657,0.936,0.772,0.784
7JQM_2x,0.815,0.917,0.863,0.864
7JSS_2,0.8,0.711,0.753,0.754
7JSS_5,0.833,0.833,0.833,0.833
7JSW_2,0.833,0.714,0.769,0.772
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Z,,,,
7K50_2,,,,
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_F,0.826,0.731,0.776,0.777
7K9M_C,0.826,0.905,0.864,0.865
7KA0_C,0.773,0.81,0.791,0.791
7KA0_F,0.762,0.8,0.78,0.781
7KAB_C,0.826,0.905,0.864,0.865
7KGA_B,0.741,0.833,0.784,0.786
7KGB_B,,,,
7KJT_A,,,,
7KJU_A,,,,
7LH5_AV,,,,
7LH5_AW,0.452,0.609,0.519,0.524
7LH5_BB,,,,
7LH5_CV,,,,
7LH5_CW,0.414,0.5,0.453,0.455
7LH5_DB,,,,
7LJ3_B,,,,
7LMA_B,,,,
7LMB_B,,,,
7LS1_B2,,,,
7LS1_n2,,,,
7LS2_B2,,,,
7LS2_n2,,,,
7LV0_2,,,,
7LV0_5,,,,
7LV0_6,,,,
7LVK_J,,,,
7M4V_B,,,,
7M4W_B,,,,
7M4X_B,,,,
