,PPV,TPR,F1,INF
6WD6_7,0.833,0.75,0.789,0.791
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.85,0.81,0.829,0.83
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.737,0.7,0.718,0.718
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.85,0.81,0.829,0.83
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.85,0.81,0.829,0.83
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.81,0.81,0.81,0.81
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.762,0.8,0.78,0.781
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.778,0.7,0.737,0.738
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.75,0.789,0.769,0.769
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.818,0.9,0.857,0.858
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.857,0.9,0.878,0.878
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.762,0.8,0.78,0.781
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.762,0.842,0.8,0.801
6WJR_X,,,,
6WJS_X,,,,
6WNW_5,,,,
6WNW_7,0.708,0.81,0.756,0.757
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WU9_B,,,,
6WYV_J,,,,
6WZR_A,0.0,0.0,0.0,0.0
