,PPV,TPR,F1,INF
6ZVI_e,,,,
7A09_f,,,,
7ABZ_7,0.0,0.0,0.0,0.0
7AC7_7,0.0,0.0,0.0,0.0
7AQC_P,,,,
7AS8_2,,,,
7AS9_2,,,,
7ASE_1,,,,
7B5K_9,,,,
7B5K_x,,,,
7B5K_z,0.0,0.0,0.0,0.0
7B7D_Sm,1.0,1.0,1.0,1.0
7BG9_B,0.0,0.0,0.0,0.0
7CHD_I,0.0,0.0,0.0,0.0
7CHD_J,0.0,0.0,0.0,0.0
7CPJ_9,0.0,0.0,0.0,0.0
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7E8O_X,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7EQJ_B,,,,
7F36_E,0.0,0.0,0.0,0.0
7F36_F,,,,
7F36_H,,,,
7JQC_i,1.0,1.0,1.0,1.0
7JQL_1x,,,,
7JQL_2x,1.0,1.0,1.0,1.0
7JQM_1x,,,,
7JQM_2x,1.0,1.0,1.0,1.0
7JT1_5,,,,
7JT2_5,,,,
7K00_Z,,,,
7K50_5,,,,
7K50_7,,,,
7K51_5,,,,
7K52_5,,,,
7K52_6,,,,
7K53_5,,,,
7K53_7,,,,
7K54_5,,,,
7K54_6,,,,
7K55_5,,,,
7K55_6,,,,
7K98_F,0.0,0.0,0.0,0.0
7K9M_C,0.0,0.0,0.0,0.0
7KA0_C,0.0,0.0,0.0,0.0
7KA0_F,0.0,0.0,0.0,0.0
7KAB_C,0.0,0.0,0.0,0.0
7KGA_B,1.0,1.0,1.0,1.0
7KJT_A,,,,
7KJU_A,,,,
7LH5_CV,,,,
7LJ3_B,,,,
7LMA_B,,,,
7LMB_B,,,,
7LV0_5,,,,
7MT7_x,,,,
7N1P_Pt,,,,
7N2C_Pt,,,,
7N30_Pt,,,,
7NBU_V,,,,
7NFX_1,,,,
7NHK_D,,,,
7NHL_D,,,,
7NHM_D,,,,
7NHN_D,,,,
7NRD_Sm,,,,
7NSO_8,0.0,0.0,0.0,0.0
7NSP_8,0.0,0.0,0.0,0.0
7NSQ_8,0.0,0.0,0.0,0.0
7NWG_q3,,,,
7NWI_2,,,,
7NWT_5,,,,
7NWW_z,0.0,0.0,0.0,0.0
7O19_B8,,,,
7O1A_B8,,,,
7O1C_B8,,,,
7O7Y_AT,0.0,0.0,0.0,0.0
7O7Z_AH,,,,
7O7Z_AT,0.0,0.0,0.0,0.0
7O81_AJ,0.0,0.0,0.0,0.0
7OBR_1,,,,
7OI8_z,,,,
7OIA_z,,,,
7OID_z,,,,
7OIF_z,0.0,0.0,0.0,0.0
7OIG_z,0.0,0.0,0.0,0.0
7OII_z,,,,
7OIZ_V,,,,
7OJ0_V,,,,
7OT5_z,,,,
7P3K_V,,,,
7P48_5,,,,
7P7Q_D,,,,
7P7R_D,,,,
7P7S_D,,,,
7P7T_D,,,,
7P7U_D,,,,
7PJT_v,,,,
7PJT_w,0.0,0.0,0.0,0.0
7PJU_v,,,,
7PJU_w,0.0,0.0,0.0,0.0
7PJV_v,,,,
7PJV_w,0.0,0.0,0.0,0.0
7PJW_v,,,,
7PJW_w,0.0,0.0,0.0,0.0
7PJX_v,,,,
7PJX_w,0.0,0.0,0.0,0.0
7PJY_v,,,,
7PJY_w,0.0,0.0,0.0,0.0
7PJZ_v,,,,
7PJZ_w,0.0,0.0,0.0,0.0
7QG8_M,0.0,0.0,0.0,0.0
7QGH_M,0.0,0.0,0.0,0.0
7QGN_M,0.0,0.0,0.0,0.0
7QXA_B,0.0,0.0,0.0,0.0
7QXB_B,0.0,0.0,0.0,0.0
7QXS_B,0.0,0.0,0.0,0.0
7R81_t1,,,,
7R81_u1,,,,
7RQ8_1w,0.0,0.0,0.0,0.0
7RQ8_1x,,,,
7RQ8_2w,0.0,0.0,0.0,0.0
7RQ8_2x,,,,
7RQ8_2y,0.0,0.0,0.0,0.0
7RQ9_1w,0.0,0.0,0.0,0.0
7RQ9_1x,,,,
7RQ9_2w,0.0,0.0,0.0,0.0
7RQ9_2x,,,,
7RQ9_2y,0.0,0.0,0.0,0.0
7RR5_P,,,,
7SSN_5,,,,
7SSO_5,,,,
7ST2_5,,,,
7ST6_5,,,,
7ST6_6,,,,
7ST6_7,,,,
7ST7_5,,,,
7TRD_B,0.0,0.0,0.0,0.0
7TRE_B,0.0,0.0,0.0,0.0
7TRF_B,0.0,0.0,0.0,0.0
