,PPV,TPR,F1,INF
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,0.9,0.9,0.9,0.9
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.778,0.875,0.824,0.825
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.375,0.429,0.4,0.401
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.6,0.4,0.424
7O1A_1_B8,0.485,0.696,0.571,0.581
6CFJ_1_1x,0.577,0.789,0.667,0.675
1L9A_1_B,0.487,0.5,0.494,0.494
4V8B_1_AB,0.447,0.654,0.531,0.541
7KGA_1_B,0.63,0.773,0.694,0.698
3HHN_1_E,0.564,0.647,0.603,0.604
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.8,1.0,0.889,0.894
7CPU_1_L7,0.453,0.674,0.542,0.553
7P48_1_5,0.773,0.81,0.791,0.791
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.778,0.667,0.674
1Y26_1_X,0.708,0.773,0.739,0.74
7EQJ_1_B,0.609,0.636,0.622,0.622
6XH2_1_D,0.889,0.889,0.889,0.889
4PRF_1_B,0.148,0.235,0.182,0.187
2C4Q_1_R,0.6,0.75,0.667,0.671
7QEP_1_2,0.676,0.735,0.704,0.705
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.219,0.304,0.255,0.258
3SUX_1_X,0.594,0.905,0.717,0.733
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.412,0.467,0.438,0.438
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.4,0.444,0.421,0.422
