,PPV,TPR,F1,INF
6ORD_YB,,,,
6OSI_QV,,,,
6OSI_RB,,,,
6OSI_XV,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6T3K_A,0.267,0.317,0.29,0.291
6T3S_A,0.368,0.373,0.37,0.37
6TB7_A,,,,
6TF1_A,,,,
6TF2_A,,,,
6TF3_A,,,,
6TFE_A,,,,
6TFF_A,,,,
6TFG_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6VMY_A,0.0,0.0,0.0,0.0
6VU3_A,,,,
6VU3_B,,,,
6VU3_d,,,,
6VVJ_A,0.0,0.0,0.0,0.0
6VWL_3,,,,
6VWL_5,,,,
6VWM_3,,,,
6VWM_5,0.0,0.0,0.0,0.0
6VWN_3,,,,
6VWN_5,0.118,0.167,0.138,0.14
6VWT_A,0.25,0.273,0.261,0.261
6VWT_B,0.25,0.273,0.261,0.261
6VWV_A,0.25,0.273,0.261,0.261
6VWV_B,0.25,0.273,0.261,0.261
6VYQ_A,,,,
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_A,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_A,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_A,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_A,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_A,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_A,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_A,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_A,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_A,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_A,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_A,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_A,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_A,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_u,0.133,0.4,0.2,0.231
6W6L_v,0.037,0.111,0.056,0.064
6W6P_B,,,,
6W6V_A,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.182,0.286,0.222,0.228
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.2,0.286,0.235,0.239
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.182,0.286,0.222,0.228
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.182,0.286,0.222,0.228
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,0.182,0.333,0.235,0.246
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.167,0.333,0.222,0.236
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.154,0.286,0.2,0.21
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.2,0.333,0.25,0.258
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
