,PPV,TPR,F1,INF
7JRR_1_A,0.308,0.333,0.32,0.32
7ODF_1_F,1.0,1.0,1.0,1.0
2OEU_1_A,0.8,1.0,0.889,0.894
6YL5_1_I,0.5,0.429,0.462,0.463
6VRB_1_B,0.8,1.0,0.889,0.894
6CFJ_1_1x,0.952,1.0,0.976,0.976
6TB3_1_n,0.905,1.0,0.95,0.951
1XOK_1_A,1.0,1.0,1.0,1.0
6PMO_1_A,0.95,1.0,0.974,0.975
3HJW_1_D,1.0,1.0,1.0,1.0
2F8K_1_B,0.833,1.0,0.909,0.913
5XTM_1_B,0.2,0.25,0.222,0.224
1ZL3_1_B,1.0,1.0,1.0,1.0
6ZM6_1_x,0.952,1.0,0.976,0.976
1IL2_1_C,0.7,0.778,0.737,0.738
4PKD_1_V,0.333,0.5,0.4,0.408
5ZQ8_1_D,1.0,1.0,1.0,1.0
7KGA_1_A,0.75,1.0,0.857,0.866
5NS3_1_C,0.9,1.0,0.947,0.949
5D8H_1_A,0.941,0.941,0.941,0.941
3K1V_1_A,0.625,1.0,0.769,0.791
5DEA_1_C,0.714,0.833,0.769,0.772
6M0X_1_B,0.933,1.0,0.966,0.966
1M5K_1_B,0.944,1.0,0.971,0.972
5F5F_1_F,1.0,1.0,1.0,1.0
5DEA_1_A,0.714,0.833,0.769,0.772
5B63_1_D,0.889,1.0,0.941,0.943
5ZW4_1_D,1.0,1.0,1.0,1.0
6H9H_1_D,0.0,0.0,0.0,0.0
4V90_1_AV,0.95,1.0,0.974,0.975
6UFG_1_A,0.457,0.488,0.472,0.472
5B2T_1_A,0.824,0.737,0.778,0.779
2DRA_1_B,1.0,1.0,1.0,1.0
5DH6_1_A,0.833,1.0,0.909,0.913
5W1H_1_B,0.8,1.0,0.889,0.894
2ANN_1_B,0.0,0.0,0.0,0.0
6YWE_1_bb,1.0,1.0,1.0,1.0
3FOZ_1_D,0.944,1.0,0.971,0.972
6SVS_1_A,0.583,1.0,0.737,0.764
6RFL_1_U,0.944,1.0,0.971,0.972
4ZLD_1_B,1.0,1.0,1.0,1.0
4Z31_1_E,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5NFV_1_B,0.8,0.8,0.8,0.8
5BTM_1_A,0.75,1.0,0.857,0.866
6UGI_1_A,1.0,1.0,1.0,1.0
3RW6_1_H,1.0,1.0,1.0,1.0
6WJR_1_X,0.71,1.0,0.83,0.842
5U30_1_B,0.536,0.652,0.588,0.591
6UFM_1_A,0.955,1.0,0.977,0.977
7MJV_1_E,1.0,1.0,1.0,1.0
2QUW_1_B,0.833,0.909,0.87,0.87
1KXK_1_A,0.87,0.87,0.87,0.87
2A43_1_A,0.571,1.0,0.727,0.756
5V3F_1_A,1.0,1.0,1.0,1.0
2ZZN_1_D,0.955,1.0,0.977,0.977
6GSJ_1_3L,0.947,1.0,0.973,0.973
6AZ4_1_A,0.0,0.0,0.0,0.0
5M0J_1_F,1.0,1.0,1.0,1.0
1KUQ_1_B,0.947,0.947,0.947,0.947
5MSF_1_R,1.0,1.0,1.0,1.0
2HW8_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,1.0,1.0,1.0,1.0
1SER_1_T,0.25,0.263,0.256,0.256
3JCS_1_3,0.579,0.733,0.647,0.652
7D7V_1_A,0.842,1.0,0.914,0.918
4FEN_1_B,0.826,1.0,0.905,0.909
7R81_1_t1,0.7,0.737,0.718,0.718
1EC6_1_C,1.0,1.0,1.0,1.0
6XKO_1_A,0.286,0.727,0.41,0.456
6SZV_1_V,1.0,1.0,1.0,1.0
5F5H_1_D,1.0,1.0,1.0,1.0
5XJ2_1_G,0.5,1.0,0.667,0.707
7JIL_1_3,0.613,0.76,0.679,0.683
4Z0C_1_C,1.0,1.0,1.0,1.0
7D7W_1_A,0.842,0.941,0.889,0.89
7K98_1_C,0.955,1.0,0.977,0.977
7OS0_1_F,1.0,1.0,1.0,1.0
6CB3_1_B,0.848,0.848,0.848,0.848
7D3J_1_B,0.833,1.0,0.909,0.913
6WBR_1_B,0.727,0.8,0.762,0.763
5WTI_1_B,0.533,0.64,0.582,0.584
6SKG_1_BB,0.919,0.919,0.919,0.919
7K16_1_P,0.313,0.357,0.333,0.334
5VW1_1_C,0.471,1.0,0.64,0.686
3HAX_1_E,1.0,1.0,1.0,1.0
6AZ3_1_3,0.5,0.657,0.568,0.573
6MSF_1_S,1.0,1.0,1.0,1.0
4IFD_1_R,1.0,1.0,1.0,1.0
5WT1_1_C,0.9,1.0,0.947,0.949
3EGZ_1_B,1.0,1.0,1.0,1.0
4L81_1_A,0.839,0.963,0.897,0.899
1QU2_1_T,0.955,1.0,0.977,0.977
4C8Y_1_C,0.75,1.0,0.857,0.866
4JRC_1_B,0.941,1.0,0.97,0.97
5O7H_1_A,1.0,1.0,1.0,1.0
3MJA_1_B,0.778,1.0,0.875,0.882
6XJQ_1_A,0.944,1.0,0.971,0.972
5M0J_1_E,1.0,1.0,1.0,1.0
7NHN_1_B,0.909,0.909,0.909,0.909
3SIU_1_F,0.75,1.0,0.857,0.866
1EC6_1_D,1.0,1.0,1.0,1.0
1YLS_1_B,0.0,0.0,0.0,0.0
7LJ3_1_A,0.952,1.0,0.976,0.976
4FRG_1_B,0.72,0.947,0.818,0.826
6ZM6_1_w,0.263,0.294,0.278,0.278
6FQ3_1_B,1.0,1.0,1.0,1.0
4V99_1_C2,1.0,1.0,1.0,1.0
2ZZM_1_B,0.8,0.889,0.842,0.843
